id_ubicacion,Direccion_Actividad
249,CRA 6 este CLL 47 sur santa rita
250,"4.569881368898857, -74.08658417597756"
251,Cl. 48 Sur #2 Este27
252,https://maps.app.goo.gl/4dSNVJiwkWRqCvAS8
253,CARRERA 13A ESTE 53C-25 SUR
254,"4.554555589543563, -74.09491119169022"
255,Cra. 8 #17 Sur-45
256,Cra. 1a #8C-4
257,CRA 1 bis N 52   - 31 sur
258,Cra. 1a #41A-28
259,Cra. 3c Este #41-12
260,CARRERA 1 BIS#42-31 SUR
261,Calle 13 sur # 8-35 Salon comunal la arboleda.
262,Salon comunal del sosiego
263,Avenida circunvalar con calle 72 A sur Este 
264,Carrera décima con Av primera de mayo 
265,Av. 1 de Mayo - KR 8A
266,Cl. 68 Sur #13-89
267,"4.580572425599302, -74.08959196385523"
268,"4.575657865067692, -74.09322508269426"
269,"4.575776092179609, -74.09432700267962"
270,https://maps.app.goo.gl/v2zzpKTZHnS2Jt8x5
271,"4.545371127632874, -74.08774986043458"
272,"4.578854138694314, -74.08846692052632"
273,CLL 37 a bis sur N 5 g 
274,Cra 11 este #43-05 sur
275,"(4.5667190, -74.0672890)"
276,KRA 23 B este 9-42 sur 
277,"4.56641602878478, -74.06865075235454"
278,Cl. 24 sur #0-35. alcaldia
279,Calle 11 a 23 - 80 este
280,TV 15 BIS ESTE #48 SUR
281,CRA 9#18-74
282,KRA22 este 11 sur
283,ALCALDIA LOCAL DE SAN CRISTOBAL
284,TV 15 BIS #48 SUR2-98
285,CRA 9A #15-14
286,Casa de justicia san Cristóbal 
287,Juan Rey
288,Creac Juan Rey
289,Barrio nueva roma
290,Auditorio policia nacional 
291,Colegio Felix Restrepo Sede A
292,Salón comunal nueva delhi
293,Colegio montebello 
294,Ciudadela santa rosa 
295,Alcaldia Local De San Cristobal 
296,Salon Comunal nueva delhi y alrededores 
297,Barrio Santa Rosa
298,https://maps.app.goo.gl/uXbpWuLg1ow3yrRF8?g_st=ipc
299,"(4.5697855, -74.0711801)"
300,"4.552039407803272, -74.08931274851922"
301,"(4.5647473, -74.1018870)"
302,CDC San Blass
303,https://maps.app.goo.gl/sHBpTPZNuPjyUrL8A?g_st=ipc
304,Avenida primero de mayo # 1-40
305,Cll. 17 Sur #8-2
306,Cra. 6D #37-6
307,Carrera 21 B este # 10- 33 sur 
308,Carrera 11 B Este #70-44
309,Cll. 21 Sur #5A-34
310,Cll. 20 Sur #1-29
311,Carrera 16 A este con trasversal 16
312,Cra 20 B este con cll 11 Sur
313,Parque Metropolitano san cristobal
314,Santa Rosa
315,Cl. 24 Sur #0-35
316,Velodromo Alcaldia Local de San Cristobal 
317,Auditorio Policia 
318,Cra. 8 #17 Sur-68
319,Tv. 14b Este #54 - 96
320,"(4.5687425, -74.0730469)"
321,CRA 4 ESTE ENTRE CLL 36 J Y CLL 36 H  BARRIO ATENAS
322,Colegio Junita Perlta Santa Ana
323,Colegio Juan Bosco Barrio Santa Ana
324,Colegio Nueva Roma
325,Colegio Giralda Las Brisas
326,Colegio Aldemar Rojas
327,Colegio Gloria Valencia
328,Carrera 21 B este # 10 - 33 sur
329,Alcaldia Local de San Cristóbal 
330,Alcaldia local san cristobal
331,Carrera 21 B este #10-33 sur
332,Auditorio alcaldia local de san cristobal 
333,Alcaldia local de san cristobal 
334,Cra 21 B 10-33 Sur
335,Cl. 21 Sur #5A - 34
336,Ak. 4 Este #36 Sur15
337,CBC San Blas 
338,Salon comunal montebello
339,La castaña
340,Salon comunal nueva Delhi
341,Calle 31c Sur #3A-67 este casa de justicia
342,Parque Alameda
343,Cai bello horizonte
344,La Victoria
345,La victoria
346,Salon comunal la sagrada familia
347,La roca
348,Cra. 11a Este #52
349,Auditorio Fuente De Amor
350,Calle 6b bis sur # 5-29 este
351,Estacion de Policia San Cristóbal 
352,Barrio Altamira
353,La sagrada familia
354,Carrera 10 Este Calle 52 A Sur
355,Estación de Transmilenio carretera 10
356,Geriatrico San Martin De Loba
357,Parque Columnas
358,CDC SAN BLASS
359,SAN MARTIN DE LOBA
360,calle 32 sur entre carrera 6 y 9
361,CALLE 37 CON CARRERA 7
362,LA VICTORIA
363,La Victoria 
364,Av 1 de Mayo con Carrera 10 
365,"4.567729056526864, -74.09774815646398"
366,Parque entre nubes 
367,Tranversal 15 A Este #42c-64 Sur
368,Tansversal 15a este # 42c-64 sur barrio moralba
369,Cra. 3 Este #18
370,cll 44 b sur #11 c 18 este barrio altamira
371,La victoria 
372,la victoria 
373,CALLE 22 A SUR # 9 A 26
374,Calle 43 sur # 12a 37 altamira
375,Parque Ramajal
376,Alcaldía local san cristobal auditorio 
377,carrera 12 este # 51 a 23 sur
378,Carrera 6 bis este # 36 H 10 sur
379,Avenida villavicencio con calle 39 sur
380,Calle 24 sur 0-35 
381,Barrio Santa Rosa 
382,alcaldía local san cristobal 
383,Nueva delhi 
384,carrera 33 # 7-50 sur
385,Alcaldía local y calle 33 #7-50 sur
386,Urbanización punta del este
387,Calle 13 sur 14 61
388,Avenida 1 de Mayo # 1-40 Sur
389,Cl. 36h Sur # 8-9
390,Avenida 1 de Mayo No. 1 - 40 Sur.
391,av 1 de mayo 1 40 
392,AV. De los Cerros - CL 37 Sur
393,Carrera 8 a este # 30-81 sur
394,Carrera 1 f # 41-31
395,Carrera 1 F #41-31
396,"(4.5334790, -74.0879925)"
397,Transversal 13 D # 54- 83 sur
398,Salon social de conjunto colmena 
399,Calle 31 a Sur # 5 a este
400,"Cra. 9 Bis A Este #38, Bogotá"
401,Alcaldía local
402,Cra 12a este con calle 43 sur
403,Parque La Media torta
404,Cra 5 este # 28a_30
405,Tv 15 este N 61 A 10 sur 
406,DILE Carrera 5a # 27 sur-19 piso 3
407,"4.569859979454929, -74.08619793716096"
408,CALLE 22A SUR # 7 - 66
409,Ac. 11 Sur #4-25 a 4-1
410,av 1 de mayo 1 40
411,Ak 15 este N 61 sur 21
412,Cra. 8 #19-48
413,"Cra. 11 Este #33a Sur-62 a, Dg. 33a Sur #2, Bogotá"
414,"Ciudad Jardin B - 4 o 6, Bogotá"
415,Calle 72a bis sur #13-21
416,av 1 mayo 1 40 
417,Cra. 16 A ESTE # 42 C - 80 SUR
418,Calle 13 Sur No. 8-34
419,Calle 11  b sur #22 a-55
420,Iglesia la victoria
421,CL 74 Sur KR 15 Este
422,KR 2 Este 6C Sur 29
423,CL 7A Sur 4B Este Ciudadela Parque La Roca
424,Av 1° KR 2B Este Parque Granada
425,Iglesia La victoria
426,CL 74 Sur 15 Este
427,KR 5A 8 14 Sur Parque Urbanización Villa Javier 
428,CL 18 5 60 Sur Parque Gaitán Cortés
429,KR 6 Este 47A 37 Sur Brr Santa Rita
430,Carrera 12 a este # 51 a 23 
431,"Cl. 32 Sur #8-51, San Cristóbal, Bogotá"
432,"Cl. 44b Sur #11c Este, Bogotá"
433,"Cl. 40a Sur #2 Este-39, Bogotá"
434,"Diagonal 35 Sur #311, Bogotá"
435,Casa de la justicia de la localidad de san Cristóbal 
436,Diagonal 44 SUR #06 este-50
437,CRA 1A #43A-2 SUR
438,CRA 15 ESTE #47B -50 SUR
439,Calle 54SUR #13B ESTE-42
440,Calle 41 sur #11-83
441,AV 1 de mayo#1-90 ESTE
442,CL 36C Sur KR 2 Parque Villa de los Alpes El Relo
443,IED Juana Evangelista DG 39 Sur 2 Este
444,Cra 4 Este #39a - 40 sur 
445,"Cl. 54 Bis Sur, Bogotá"
446,"Tv. 16 Bis Este #45a Sur, Bogotá"
447,"Cra. 17 Bis Este #44a Sur-1 a, Dg. 44a Sur #31, Bogotá"
448,"Cl. 46 Sur 11b Este, Bogotá"
449,Cl 37a Sur No. 35  8
450,KR 9 Este CL 44 Sur Paradero SITP La Gloria
451,CL 73A Sur KR 15 Este
452,KR 9 18 74 Sur
453,Carrera 11Be # 65A-18
454,https://maps.app.goo.gl/u1tGddoSLz9wcKnW8
455,https://maps.app.goo.gl/HP5Cqcgc61kjtfdm7
456,Alcaldía Local de San Cristóbal 
457,https://maps.app.goo.gl/cCBCge8rAfUR3TZD7
458,https://maps.app.goo.gl/P2yGAsiX73dGkdNw6
459,https://maps.app.goo.gl/yeZqZBhjwqPoyrif8
460,https://maps.app.goo.gl/t93yNxXNUtMmj6GJ9
461,https://maps.app.goo.gl/QZjm6bkEHNsN3wY6A
462,https://maps.app.goo.gl/VgRZpswd3qqkW8KQ9
463,https://maps.app.goo.gl/hWevDnfLz9Z2dBPC8
464,https://maps.app.goo.gl/pp6LjZGCtanGme8MA
465,HOME OFFICE 
466,https://maps.app.goo.gl/bgotepomPd8TJWTZ8
467,https://maps.app.goo.gl/NPuZgXfVBbLDYmLw9
468,https://maps.app.goo.gl/StDBXb85DbMTzpKcA
469,https://maps.app.goo.gl/4vLsmJ6WX86qE3Ki6
470,https://maps.app.goo.gl/HyYcmMYJNLgxZWYN6
471,HOME OFICCE
472,https://maps.app.goo.gl/TZAnDzousv9ktapn9
473,https://maps.app.goo.gl/T1aYJjEAEa2k26QC8
474,https://maps.app.goo.gl/PCWf8KagtSQj6P347
475,https://maps.app.goo.gl/NFjcGKWcZiAKYCgq6
476,https://maps.app.goo.gl/CDHoQL4jnPVDWbb69
477,https://maps.app.goo.gl/uQuNdcMkBMqRSyJb8
478,https://maps.app.goo.gl/uszbAP6c4gQErYKA7
479,https://maps.app.goo.gl/g3cpq5C2HEG8wdRt8
480,https://maps.app.goo.gl/WDp8SgDbNKRsHbvM6
481,https://maps.app.goo.gl/sXpARiaxG7x3Z2zT9
482,https://maps.app.goo.gl/hvAQdZL7crGE24328
483,https://maps.app.goo.gl/wehG16NZU7BTbL1H9
484,https://maps.app.goo.gl/QB8PpBdGJCff4oaK9
485,https://maps.app.goo.gl/VazBZETG1yNoDpeK6
486,https://maps.app.goo.gl/HnCERAoAxgJt3P5n8
487,https://maps.app.goo.gl/YcQidPAC8gz3EhC57
488,https://maps.app.goo.gl/tQzFZmWXDeboDir7A
489,HOME OFFICE
490,https://maps.app.goo.gl/HFZfy2GysDgmZbFH7
491,https://maps.app.goo.gl/xtGnkusaTubgQrtg8
492,https://maps.app.goo.gl/k4GAWnEgssur7Zwv5
493,https://maps.app.goo.gl/DsEb9qAWRH2RqeQk8
494,https://maps.app.goo.gl/nKhGvkjFPPozL1yn8
495,https://maps.app.goo.gl/YxaJKhh2yQXsxgzr6
496,https://maps.app.goo.gl/dxaHcppfZKkEgofi8
497,Cr 7 # 24-01 sur 
498,Alcaldia Local de San Cristobal 
499,https://maps.app.goo.gl/dsZjC7QDMNB33d6s5
500,HOME OFICCE 
501,https://maps.app.goo.gl/RJfd7va7WyjsUXyj7
502,https://maps.app.goo.gl/YYH1FHnbtSspsX1m9
503,https://maps.app.goo.gl/asoYtPp82UHVoBXb7
504,https://maps.app.goo.gl/rDBRi4vMBu12D28cA
505,https://maps.app.goo.gl/8v5LFx2SCgk2nidE8
506,Alcaldía Local De San Cristobal 
507,https://maps.app.goo.gl/vMorZEgxLThGfqhe9
508,https://maps.app.goo.gl/XNxnX2qc3RtM2xSt5
509,https://maps.app.goo.gl/G7KZwmH8MBKxZ7c48
510,https://maps.app.goo.gl/GhyGR59dfSBP3bAY6
511,https://maps.app.goo.gl/c5vthaePsJ6HQt7P8
512,https://maps.app.goo.gl/PXxFW4repzddUoLf9
513,https://maps.app.goo.gl/ZwhkrVcvK7v3Godq9
514,https://maps.app.goo.gl/VmY29fuKSsyJ5RfT6
515,https://maps.app.goo.gl/oj8CdKB4iA2nMQbG9
516,https://maps.app.goo.gl/7peZ6EhgkZBUX9Xf7
517,https://maps.app.goo.gl/VwMYbi9V6rHqMyqSA
518,https://maps.app.goo.gl/j7qiFmmtX5JUDTWH8
519,https://maps.app.goo.gl/aUF9YkqMeQ6SMw8t7
520,https://maps.app.goo.gl/3Wu4LozgZUdAws1z9
521,https://maps.app.goo.gl/GhDHxoKD44yeKpMB6
522,https://maps.app.goo.gl/Hxb6QV2Mk4Ph31Uk8
523,https://maps.app.goo.gl/VJfWsshBkqZ1u4Vr9
524,https://maps.app.goo.gl/mxh5PfdyHZCKCY3TA
525,https://maps.app.goo.gl/11ywzxbTNRSi5ku19
526,https://maps.app.goo.gl/vYCf8u2jAVHRpviK9
527,https://maps.app.goo.gl/LzYkYsV2uKggZjtb9
528,https://maps.app.goo.gl/CegC4pPGUhs6M93V7
529,https://maps.app.goo.gl/xuU5tfHfcnJHJbW17
530,https://maps.app.goo.gl/vMLaEmC9nb69F9vr7
531,ERIKA ACOSTA Y WILLIAM WILCHES
532,https://maps.app.goo.gl/3B82D2PwfNE7MRa17
533,https://maps.app.goo.gl/r65nEPHoUf8pCEb79
534,https://maps.app.goo.gl/3i3zL2kyVpWUyLj16
535,https://maps.app.goo.gl/oPaFRUxieSCzeFQe6
536,https://maps.app.goo.gl/yWMQDk7SHztGwxZn6
537,https://maps.app.goo.gl/gYSgpDZAnCnCq9Tq5
538,https://maps.app.goo.gl/2h9jKUCBgWQmspjB7
539,https://maps.app.goo.gl/ERuqsTvJyMjtjDTW9
540,https://maps.app.goo.gl/i8AGDrK9frkoaXG59
541,https://maps.app.goo.gl/1p7HLzJ8RxV1YNQ29
542,https://maps.app.goo.gl/H3ke9S2mB8buBk7f8
543,https://maps.app.goo.gl/6f5GVC9kyCQkW3HT9
544,https://maps.app.goo.gl/DLYG6Gm6V5ejfR1T9
545,https://maps.app.goo.gl/oWohfcTVLxdgfUJG8
546,https://maps.app.goo.gl/nTVFhQCpRRuFoeXA7
547,https://maps.app.goo.gl/eWE7kaRRbyXbMpJZ9
548,https://maps.app.goo.gl/icEEAGA8JT7s17Pe6
549,https://maps.app.goo.gl/irqqKszhgXqzs5Zb6
550,https://maps.app.goo.gl/Nkr7K7obMQf3mwVm9
551,https://maps.app.goo.gl/zPsQiJF4DVRtyxSv6
552,https://maps.app.goo.gl/K2rWCvKkBo8sJxYm6
553,Cra. 3 #6-75
554,https://maps.app.goo.gl/eARg1zVSG89HyWaC7
555,https://maps.app.goo.gl/XBzecB2gfqgZQMgh7
556,ANA GARCIA-DANILO LOPEZ
557,LINA RUIZ - ALEJANDRO HERRERA  - LUCELLY CURIEL 
558,"Cl. 44b Sur # 11C-16,"
559,Cra. 13 Este #15 sur 61
560,Cl. 33 Bis Sur #10-67
561,Cl. 46c Sur #11c Este-76
562, calle 45 sur cra 16 este
563,Calle 31 c sur con carrera 3 este
564,"Cl. 20A Sur #12 20 Este,"
565,Dg. 36g Sur #20
566,Cl. 36g Sur #3-2
567,cl 25 sur con cr 7 
568,Cra. 5 Este #28 Sur-3 a
569,Cra. 6 #4 Sur
570,Cra. 1 Este #36h - 12
571,Diagonal 36 G sur con Carrera 2 B
572,CR 8 ESTE # 36M-22 SUR
573,Calle 11 sur con carrera 4
574,"Cl. 36g Sur #3-2,"
575,Cra. 4 Este #14 Sur-2 a 
576,"cra 8a bis, Cl. 34 Sur"
577,"Cl. 30a Sur #10a21,"
578,cr 8 bis este con cl 8 c sur 
579,Cl. 44b Sur # 11C-16
580,Cl. 20A Sur #12 20 Este
581,Cl. 13 Sur #14-61
