ID_Actividad;Tipo_Estrategia;Linea_Estrategica;ID_Estrategia
H1_50;Seguridad;Cooperación Ciudadana;1
H1_50;Seguridad;Ciudadanías Seguras;1
H1_51;Seguridad;Distritos Seguros;1
H1_51;Seguridad;Control Urbano;1
H1_51;Seguridad;Ciudadanías Seguras;1
H1_51;Seguridad;Urbanismo Para La Seguridad;1
H1_52;Seguridad;Distritos Seguros;1
H1_52;Seguridad;Control Urbano;1
H1_52;Seguridad;Transporte Seguro;1
H1_52;Seguridad;Ciudadanías Seguras;1
H1_53;Seguridad;Distritos Seguros;1
H1_54;Seguridad;Cooperación Ciudadana;1
H1_54;Seguridad;Bienestar Y Reconocimiento;1
H1_55;Seguridad;Distritos Seguros;1
H1_55;Seguridad;Seguridad Inteligente;1
H1_55;Seguridad;Datos Para La Seguridad;1
H1_55;Seguridad;Ciudadanías Seguras;1
H1_56;Seguridad;Distritos Seguros;1
H1_56;Seguridad;Control Urbano;1
H1_56;Seguridad;Transporte Seguro;1
H1_56;Seguridad;Ciudadanías Seguras;1
H1_57;Seguridad;Ciudadanías Seguras;1
H1_60;Seguridad;Control Urbano;1
H1_61;Seguridad;Ciudadanías Seguras;1
H1_62;Seguridad;Ciudadanías Seguras;1
H1_63;Seguridad;Distritos Seguros;1
H1_63;Seguridad;Control Urbano;1
H1_63;Seguridad;Gestión De La Seguridad En Aglomeraciones;1
H1_63;Seguridad;Ciudadanías Seguras;1
H1_66;Seguridad;Distritos Seguros;1
H1_67;Seguridad;Control Urbano;1
H1_67;Seguridad;Seguridad Regional;1
H1_67;Seguridad;Lucha Contra El Crimen;1
H1_67;Seguridad;Ciudadanías Seguras;1
H1_68;Seguridad;Ciudadanías Seguras;1
H1_69;Seguridad;Ciudadanías Seguras;1
H1_71;Seguridad;Ciudadanías Seguras;1
H1_72;Seguridad;Datos Para La Seguridad;1
H1_73;Seguridad;Distritos Seguros;1
H1_73;Seguridad;Control Urbano;1
H1_73;Seguridad;Gestión De La Seguridad En Aglomeraciones;1
H1_73;Seguridad;Ciudadanías Seguras;1
H1_74;Seguridad;Distritos Seguros;1
H1_74;Seguridad;Ciudadanías Seguras;1
H1_74;Seguridad;Urbanismo Para La Seguridad;1
H1_75;Seguridad;Distritos Seguros;1
H1_77;Seguridad;Distritos Seguros;1
H1_77;Seguridad;Control Urbano;1
H1_77;Seguridad;Seguridad Inteligente;1
H1_77;Seguridad;Transporte Seguro;1
H1_79;Seguridad;Control Urbano;1
H1_82;Seguridad;Datos Para La Seguridad;1
H1_82;Seguridad;Bienestar Y Reconocimiento;1
H1_83;Seguridad;Distritos Seguros;1
H1_84;Seguridad;Distritos Seguros;1
H1_85;Seguridad;Distritos Seguros;1
H1_86;Seguridad;Distritos Seguros;1
H1_86;Seguridad;Ciudadanías Seguras;1
H1_86;Seguridad;Bienestar Y Reconocimiento;1
H1_87;Seguridad;Cooperación Ciudadana;1
H1_89;Seguridad;Seguridad Inteligente;1
H1_89;Seguridad;Cooperación Ciudadana;1
H1_89;Seguridad;Seguridad Regional;1
H1_89;Seguridad;Urbanismo Para La Seguridad;1
H1_91;Seguridad;Distritos Seguros;1
H1_92;Seguridad;Distritos Seguros;1
H1_92;Seguridad;Transporte Seguro;1
H1_93;Seguridad;Distritos Seguros;1
H1_94;Seguridad;Distritos Seguros;1
H1_95;Seguridad;Cooperación Ciudadana;1
H1_96;Seguridad;Cooperación Ciudadana;1
H1_99;Seguridad;Seguridad Inteligente;1
H1_99;Seguridad;Seguridad Regional;1
H1_99;Seguridad;Lucha Contra El Crimen;1
H1_100;Seguridad;Control Urbano;1
H1_101;Seguridad;Distritos Seguros;1
H1_102;Seguridad;Distritos Seguros;1
H1_103;Seguridad;Distritos Seguros;1
H1_104;Seguridad;Control Urbano;1
H1_104;Seguridad;Seguridad Inteligente;1
H1_104;Seguridad;Datos Para La Seguridad;1
H1_104;Seguridad;Cooperación Ciudadana;1
H1_104;Seguridad;Ciudadanías Seguras;1
H1_105;Seguridad;Distritos Seguros;1
H1_105;Seguridad;Control Urbano;1
H1_105;Seguridad;Lucha Contra El Crimen;1
H1_105;Seguridad;Ciudadanías Seguras;1
H1_105;Seguridad;Bienestar Y Reconocimiento;1
H1_106;Seguridad;Distritos Seguros;1
H1_106;Seguridad;Control Urbano;1
H1_106;Seguridad;Lucha Contra El Crimen;1
H1_106;Seguridad;Ciudadanías Seguras;1
H1_106;Seguridad;Bienestar Y Reconocimiento;1
H1_107;Seguridad;Lucha Contra El Crimen;1
H1_107;Seguridad;Ciudadanías Seguras;1
H1_108;Seguridad;Cooperación Ciudadana;1
H1_109;Seguridad;Cooperación Ciudadana;1
H1_110;Seguridad;Cooperación Ciudadana;1
H1_112;Seguridad;Seguridad Inteligente;1
H1_113;Seguridad;Seguridad Inteligente;1
H1_115;Seguridad;Distritos Seguros;1
H1_116;Seguridad;Distritos Seguros;1
H1_117;Seguridad;Ciudadanías Seguras;1
H1_117;Seguridad;Urbanismo Para La Seguridad;1
H1_119;Seguridad;Control Urbano;1
H1_119;Seguridad;Seguridad Inteligente;1
H1_119;Seguridad;Seguridad Regional;1
H1_119;Seguridad;Lucha Contra El Crimen;1
H1_119;Seguridad;Lucha Contra El Cibercrimen;1
H1_119;Seguridad;Urbanismo Para La Seguridad;1
H1_123;Seguridad;Distritos Seguros;1
H1_125;Seguridad;Control Urbano;1
H1_125;Seguridad;Transporte Seguro;1
H1_125;Seguridad;Lucha Contra El Crimen;1
H1_125;Seguridad;Ciudadanías Seguras;1
H1_126;Seguridad;Distritos Seguros;1
H1_126;Seguridad;Ciudadanías Seguras;1
H1_127;Seguridad;Distritos Seguros;1
H1_127;Seguridad;Control Urbano;1
H1_127;Seguridad;Cooperación Ciudadana;1
H1_127;Seguridad;Ciudadanías Seguras;1
H1_130;Seguridad;Control Urbano;1
H1_130;Seguridad;Transporte Seguro;1
H1_130;Seguridad;Ciudadanías Seguras;1
H1_133;Seguridad;Control Urbano;1
H1_133;Seguridad;Lucha Contra El Crimen;1
H1_133;Seguridad;Ciudadanías Seguras;1
H1_137;Seguridad;Distritos Seguros;1
H1_138;Seguridad;Distritos Seguros;1
H1_138;Seguridad;Control Urbano;1
H1_138;Seguridad;Transporte Seguro;1
H1_138;Seguridad;Lucha Contra El Crimen;1
H1_138;Seguridad;Ciudadanías Seguras;1
H1_140;Seguridad;Distritos Seguros;1
H1_140;Seguridad;Control Urbano;1
H1_140;Seguridad;Seguridad Inteligente;1
H1_140;Seguridad;Datos Para La Seguridad;1
H1_140;Seguridad;Cooperación Ciudadana;1
H1_140;Seguridad;Transporte Seguro;1
H1_140;Seguridad;Gestión De La Seguridad En Aglomeraciones;1
H1_140;Seguridad;Ciudadanías Seguras;1
H1_140;Seguridad;Bienestar Y Reconocimiento;1
H1_142;Seguridad;Distritos Seguros;1
H1_145;Seguridad;Distritos Seguros;1
H1_145;Seguridad;Control Urbano;1
H1_145;Seguridad;Seguridad Inteligente;1
H1_145;Seguridad;Datos Para La Seguridad;1
H1_145;Seguridad;Cooperación Ciudadana;1
H1_145;Seguridad;Protección De Infraestructura;1
H1_145;Seguridad;Transporte Seguro;1
H1_145;Seguridad;Protección Del Capital Natural;1
H1_145;Seguridad;Gestión De La Seguridad En Aglomeraciones;1
H1_145;Seguridad;Seguridad Regional;1
H1_145;Seguridad;Lucha Contra El Crimen;1
H1_145;Seguridad;Lucha Contra El Cibercrimen;1
H1_145;Seguridad;Ciudadanías Seguras;1
H1_145;Seguridad;Bienestar Y Reconocimiento;1
H1_145;Seguridad;Urbanismo Para La Seguridad;1
H1_146;Seguridad;Distritos Seguros;1
H1_147;Seguridad;Distritos Seguros;1
H1_148;Seguridad;Cooperación Ciudadana;1
H1_149;Seguridad;Control Urbano;1
H1_149;Seguridad;Transporte Seguro;1
H1_152;Seguridad;Control Urbano;1
H1_152;Seguridad;Seguridad Inteligente;1
H1_152;Seguridad;Cooperación Ciudadana;1
H1_152;Seguridad;Ciudadanías Seguras;1
H1_154;Seguridad;Control Urbano;1
H1_154;Seguridad;Lucha Contra El Crimen;1
H1_154;Seguridad;Ciudadanías Seguras;1
H1_155;Seguridad;Cooperación Ciudadana;1
H1_156;Seguridad;Control Urbano;1
H1_156;Seguridad;Ciudadanías Seguras;1
H1_157;Seguridad;Distritos Seguros;1
H1_157;Seguridad;Control Urbano;1
H1_157;Seguridad;Lucha Contra El Crimen;1
H1_158;Seguridad;Lucha Contra El Cibercrimen;1
H1_158;Seguridad;Ciudadanías Seguras;1
H1_159;Seguridad;Control Urbano;1
H1_159;Seguridad;Ciudadanías Seguras;1
H1_161;Seguridad;Distritos Seguros;1
H1_161;Seguridad;Seguridad Inteligente;1
H1_161;Seguridad;Datos Para La Seguridad;1
H1_161;Seguridad;Cooperación Ciudadana;1
H1_161;Seguridad;Protección Del Capital Natural;1
H1_161;Seguridad;Seguridad Regional;1
H1_161;Seguridad;Lucha Contra El Crimen;1
H1_161;Seguridad;Lucha Contra El Cibercrimen;1
H1_161;Seguridad;Ciudadanías Seguras;1
H1_161;Seguridad;Bienestar Y Reconocimiento;1
H1_162;Seguridad;Distritos Seguros;1
H1_162;Seguridad;Control Urbano;1
H1_162;Seguridad;Seguridad Inteligente;1
H1_162;Seguridad;Datos Para La Seguridad;1
H1_162;Seguridad;Cooperación Ciudadana;1
H1_162;Seguridad;Transporte Seguro;1
H1_162;Seguridad;Gestión De La Seguridad En Aglomeraciones;1
H1_162;Seguridad;Lucha Contra El Crimen;1
H1_162;Seguridad;Ciudadanías Seguras;1
H1_162;Seguridad;Bienestar Y Reconocimiento;1
H1_162;Seguridad;Urbanismo Para La Seguridad;1
H1_163;Seguridad;Transporte Seguro;1
H1_164;Seguridad;Control Urbano;1
H1_164;Seguridad;Seguridad Inteligente;1
H1_164;Seguridad;Datos Para La Seguridad;1
H1_165;Seguridad;Distritos Seguros;1
H1_165;Seguridad;Seguridad Inteligente;1
H1_165;Seguridad;Ciudadanías Seguras;1
H1_166;Seguridad;Control Urbano;1
H1_166;Seguridad;Transporte Seguro;1
H1_166;Seguridad;Lucha Contra El Crimen;1
H1_166;Seguridad;Ciudadanías Seguras;1
H1_168;Seguridad;Distritos Seguros;1
H1_168;Seguridad;Control Urbano;1
H1_169;Seguridad;Cooperación Ciudadana;1
H1_171;Seguridad;Distritos Seguros;1
H1_171;Seguridad;Control Urbano;1
H1_171;Seguridad;Seguridad Inteligente;1
H1_171;Seguridad;Cooperación Ciudadana;1
H1_171;Seguridad;Ciudadanías Seguras;1
H1_172;Seguridad;Control Urbano;1
H1_172;Seguridad;Transporte Seguro;1
H1_172;Seguridad;Ciudadanías Seguras;1
H1_173;Seguridad;Control Urbano;1
H1_173;Seguridad;Transporte Seguro;1
H1_173;Seguridad;Ciudadanías Seguras;1
H1_175;Seguridad;Seguridad Inteligente;1
H1_176;Seguridad;Distritos Seguros;1
H1_177;Seguridad;Distritos Seguros;1
H1_178;Seguridad;Distritos Seguros;1
H1_178;Seguridad;Control Urbano;1
H1_178;Seguridad;Seguridad Inteligente;1
H1_178;Seguridad;Transporte Seguro;1
H1_179;Seguridad;Distritos Seguros;1
H1_179;Seguridad;Seguridad Inteligente;1
H1_179;Seguridad;Lucha Contra El Cibercrimen;1
H1_180;Seguridad;Distritos Seguros;1
H1_180;Seguridad;Ciudadanías Seguras;1
H1_181;Seguridad;Distritos Seguros;1
H1_181;Seguridad;Cooperación Ciudadana;1
H1_181;Seguridad;Gestión De La Seguridad En Aglomeraciones;1
H1_181;Seguridad;Ciudadanías Seguras;1
H1_183;Seguridad;Distritos Seguros;1
H1_183;Seguridad;Seguridad Inteligente;1
H1_183;Seguridad;Datos Para La Seguridad;1
H1_183;Seguridad;Cooperación Ciudadana;1
H1_184;Seguridad;Distritos Seguros;1
H1_184;Seguridad;Seguridad Inteligente;1
H1_184;Seguridad;Datos Para La Seguridad;1
H1_184;Seguridad;Cooperación Ciudadana;1
H1_184;Seguridad;Ciudadanías Seguras;1
H1_184;Seguridad;Bienestar Y Reconocimiento;1
H1_186;Seguridad;Distritos Seguros;1
H1_186;Seguridad;Control Urbano;1
H1_187;Seguridad;Control Urbano;1
H1_187;Seguridad;Lucha Contra El Cibercrimen;1
H1_187;Seguridad;Ciudadanías Seguras;1
H1_188;Seguridad;Distritos Seguros;1
H1_189;Seguridad;Transporte Seguro;1
H1_191;Seguridad;Distritos Seguros;1
H1_191;Seguridad;Control Urbano;1
H1_192;Seguridad;Distritos Seguros;1
H1_192;Seguridad;Transporte Seguro;1
H1_192;Seguridad;Ciudadanías Seguras;1
H1_193;Seguridad;Distritos Seguros;1
H1_193;Seguridad;Control Urbano;1
H1_193;Seguridad;Ciudadanías Seguras;1
H1_194;Seguridad;Distritos Seguros;1
H1_194;Seguridad;Control Urbano;1
H1_194;Seguridad;Ciudadanías Seguras;1
H1_196;Seguridad;Distritos Seguros;1
H1_196;Seguridad;Control Urbano;1
H1_197;Seguridad;Distritos Seguros;1
H1_197;Seguridad;Control Urbano;1
H1_197;Seguridad;Ciudadanías Seguras;1
H1_200;Seguridad;Distritos Seguros;1
H1_200;Seguridad;Seguridad Regional;1
H1_200;Seguridad;Ciudadanías Seguras;1
H1_204;Seguridad;Distritos Seguros;1
H1_204;Seguridad;Seguridad Inteligente;1
H1_204;Seguridad;Datos Para La Seguridad;1
H1_204;Seguridad;Cooperación Ciudadana;1
H1_204;Seguridad;Seguridad Regional;1
H1_204;Seguridad;Lucha Contra El Crimen;1
H1_204;Seguridad;Ciudadanías Seguras;1
H1_204;Seguridad;Bienestar Y Reconocimiento;1
H1_204;Seguridad;Urbanismo Para La Seguridad;1
H1_205;Seguridad;Distritos Seguros;1
H1_205;Seguridad;Control Urbano;1
H1_205;Seguridad;Seguridad Inteligente;1
H1_205;Seguridad;Datos Para La Seguridad;1
H1_205;Seguridad;Cooperación Ciudadana;1
H1_205;Seguridad;Transporte Seguro;1
H1_205;Seguridad;Gestión De La Seguridad En Aglomeraciones;1
H1_205;Seguridad;Ciudadanías Seguras;1
H1_208;Seguridad;Distritos Seguros;1
H1_208;Seguridad;Control Urbano;1
H1_208;Seguridad;Seguridad Inteligente;1
H1_209;Seguridad;Distritos Seguros;1
H1_209;Seguridad;Control Urbano;1
H1_209;Seguridad;Seguridad Inteligente;1
H1_211;Seguridad;Distritos Seguros;1
H1_211;Seguridad;Control Urbano;1
H1_211;Seguridad;Seguridad Inteligente;1
H1_211;Seguridad;Datos Para La Seguridad;1
H1_211;Seguridad;Cooperación Ciudadana;1
H1_211;Seguridad;Transporte Seguro;1
H1_211;Seguridad;Ciudadanías Seguras;1
H1_212;Seguridad;Distritos Seguros;1
H1_212;Seguridad;Control Urbano;1
H1_212;Seguridad;Ciudadanías Seguras;1
H1_213;Seguridad;Ciudadanías Seguras;1
H1_213;Seguridad;Urbanismo Para La Seguridad;1
H1_214;Seguridad;Transporte Seguro;1
H1_216;Seguridad;Distritos Seguros;1
H1_216;Seguridad;Control Urbano;1
H1_219;Seguridad;Transporte Seguro;1
H1_220;Seguridad;Distritos Seguros;1
H1_220;Seguridad;Control Urbano;1
H1_220;Seguridad;Lucha Contra El Crimen;1
H1_221;Seguridad;Distritos Seguros;1
H1_221;Seguridad;Ciudadanías Seguras;1
H1_223;Seguridad;Transporte Seguro;1
H1_224;Seguridad;Transporte Seguro;1
H1_225;Seguridad;Distritos Seguros;1
H1_225;Seguridad;Control Urbano;1
H1_226;Seguridad;Distritos Seguros;1
H1_226;Seguridad;Control Urbano;1
H1_226;Seguridad;Datos Para La Seguridad;1
H1_227;Seguridad;Control Urbano;1
H1_227;Seguridad;Seguridad Inteligente;1
H1_227;Seguridad;Datos Para La Seguridad;1
H1_227;Seguridad;Ciudadanías Seguras;1
H1_228;Seguridad;Transporte Seguro;1
H1_229;Seguridad;Distritos Seguros;1
H1_229;Seguridad;Control Urbano;1
H1_230;Seguridad;Distritos Seguros;1
H1_230;Seguridad;Control Urbano;1
H1_230;Seguridad;Seguridad Inteligente;1
H1_231;Seguridad;Distritos Seguros;1
H1_231;Seguridad;Seguridad Inteligente;1
H1_232;Seguridad;Distritos Seguros;1
H1_232;Seguridad;Control Urbano;1
H1_232;Seguridad;Seguridad Inteligente;1
H1_232;Seguridad;Datos Para La Seguridad;1
H1_232;Seguridad;Ciudadanías Seguras;1
H1_233;Seguridad;Transporte Seguro;1
H1_234;Seguridad;Distritos Seguros;1
H1_234;Seguridad;Seguridad Inteligente;1
H1_234;Seguridad;Datos Para La Seguridad;1
H1_234;Seguridad;Ciudadanías Seguras;1
H1_234;Seguridad;Bienestar Y Reconocimiento;1
H1_236;Seguridad;Control Urbano;1
H1_236;Seguridad;Seguridad Inteligente;1
H1_243;Seguridad;Control Urbano;1
H1_244;Seguridad;Distritos Seguros;1
H1_244;Seguridad;Control Urbano;1
H1_245;Seguridad;Distritos Seguros;1
H1_245;Seguridad;Control Urbano;1
H1_247;Seguridad;Distritos Seguros;1
H1_247;Seguridad;Control Urbano;1
H1_248;Seguridad;Distritos Seguros;1
H1_248;Seguridad;Control Urbano;1
H1_250;Seguridad;Distritos Seguros;1
H1_250;Seguridad;Control Urbano;1
H1_250;Seguridad;Ciudadanías Seguras;1
H1_251;Seguridad;Distritos Seguros;1
H1_253;Seguridad;Distritos Seguros;1
H1_256;Seguridad;Distritos Seguros;1
H1_261;Seguridad;Distritos Seguros;1
H1_262;Seguridad;Seguridad Inteligente;1
H1_262;Seguridad;Datos Para La Seguridad;1
H1_263;Seguridad;Distritos Seguros;1
H1_263;Seguridad;Transporte Seguro;1
H1_264;Seguridad;Distritos Seguros;1
H1_264;Seguridad;Seguridad Inteligente;1
H1_264;Seguridad;Datos Para La Seguridad;1
H1_264;Seguridad;Cooperación Ciudadana;1
H1_264;Seguridad;Ciudadanías Seguras;1
H1_265;Seguridad;Distritos Seguros;1
H1_265;Seguridad;Seguridad Inteligente;1
H1_265;Seguridad;Datos Para La Seguridad;1
H1_265;Seguridad;Cooperación Ciudadana;1
H1_265;Seguridad;Ciudadanías Seguras;1
H1_268;Seguridad;Distritos Seguros;1
H1_268;Seguridad;Ciudadanías Seguras;1
H1_269;Seguridad;Bienestar Y Reconocimiento;1
H1_270;Seguridad;Distritos Seguros;1
H1_270;Seguridad;Lucha Contra El Crimen;1
H1_272;Seguridad;Control Urbano;1
H1_272;Seguridad;Lucha Contra El Crimen;1
H1_272;Seguridad;Ciudadanías Seguras;1
H1_273;Seguridad;Distritos Seguros;1
H1_273;Seguridad;Cooperación Ciudadana;1
H1_273;Seguridad;Ciudadanías Seguras;1
H1_274;Seguridad;Distritos Seguros;1
H1_274;Seguridad;Seguridad Inteligente;1
H1_274;Seguridad;Datos Para La Seguridad;1
H1_274;Seguridad;Ciudadanías Seguras;1
H1_276;Seguridad;Distritos Seguros;1
H1_276;Seguridad;Cooperación Ciudadana;1
H1_277;Seguridad;Distritos Seguros;1
H1_277;Seguridad;Control Urbano;1
H1_277;Seguridad;Lucha Contra El Crimen;1
H1_278;Seguridad;Transporte Seguro;1
H1_279;Seguridad;Distritos Seguros;1
H1_280;Seguridad;Cooperación Ciudadana;1
H1_282;Seguridad;Distritos Seguros;1
H1_282;Seguridad;Seguridad Inteligente;1
H1_282;Seguridad;Ciudadanías Seguras;1
H1_283;Seguridad;Distritos Seguros;1
H1_283;Seguridad;Cooperación Ciudadana;1
H1_284;Seguridad;Distritos Seguros;1
H1_284;Seguridad;Transporte Seguro;1
H1_285;Seguridad;Distritos Seguros;1
H1_285;Seguridad;Control Urbano;1
H1_285;Seguridad;Cooperación Ciudadana;1
H1_285;Seguridad;Lucha Contra El Crimen;1
H1_289;Seguridad;Transporte Seguro;1
H1_290;Seguridad;Transporte Seguro;1
H1_291;Seguridad;Transporte Seguro;1
H1_292;Seguridad;Datos Para La Seguridad;1
H1_292;Seguridad;Ciudadanías Seguras;1
H1_294;Seguridad;Transporte Seguro;1
H1_295;Seguridad;Transporte Seguro;1
H1_296;Seguridad;Transporte Seguro;1
H1_297;Seguridad;Transporte Seguro;1
H1_298;Seguridad;Transporte Seguro;1
H1_299;Seguridad;Transporte Seguro;1
H1_300;Seguridad;Transporte Seguro;1
H1_303;Seguridad;Transporte Seguro;1
H1_304;Seguridad;Transporte Seguro;1
H1_305;Seguridad;Transporte Seguro;1
H1_306;Seguridad;Distritos Seguros;1
H1_306;Seguridad;Control Urbano;1
H1_306;Seguridad;Seguridad Inteligente;1
H1_306;Seguridad;Cooperación Ciudadana;1
H1_306;Seguridad;Protección De Infraestructura;1
H1_306;Seguridad;Transporte Seguro;1
H1_309;Seguridad;Transporte Seguro;1
H1_310;Seguridad;Transporte Seguro;1
H1_311;Seguridad;Transporte Seguro;1
H1_312;Seguridad;Distritos Seguros;1
H1_313;Seguridad;Control Urbano;1
H1_313;Seguridad;Datos Para La Seguridad;1
H1_313;Seguridad;Cooperación Ciudadana;1
H1_313;Seguridad;Ciudadanías Seguras;1
H1_319;Seguridad;Distritos Seguros;1
H1_321;Seguridad;Distritos Seguros;1
H1_322;Seguridad;Ciudadanías Seguras;1
H1_324;Seguridad;Distritos Seguros;1
H1_324;Seguridad;Cooperación Ciudadana;1
H1_326;Seguridad;Distritos Seguros;1
H1_326;Seguridad;Control Urbano;1
H1_327;Seguridad;Distritos Seguros;1
H1_327;Seguridad;Cooperación Ciudadana;1
H1_327;Seguridad;Seguridad Regional;1
H1_328;Seguridad;Distritos Seguros;1
H1_329;Seguridad;Distritos Seguros;1
