barrio_id,barrio,upz
1,,
2,,34 - 20 de Julio
3,,33 - Sosiego
4,,51 - Los Libertadores
5,,50 - La Gloria
6,,32 - San Blas
7,La Sagrada Familia,32 - San Blas
8,Amapolas,32 - San Blas
9,San Blas,32 - San Blas
10,San Blas II Sector,32 - San Blas
