estrategia_id,estrategia
1,
2,"Seguridad, Convivencia"
3,Convivencia
4,"Seguridad, Convivencia, Justicia"
5,Seguridad
6,"Convivencia, Justicia"
7,Justicia
8,"Seguridad, Justicia"
