Fila,UPZ_Original,Zona_Original,Zona_Correcta,Error
853,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
872,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
874,50 - LA GLORIA,Zona 2,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
896,33 - SOSIEGO,Zona 5,Zona 6,CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
897,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
920,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
926,33 - SOSIEGO,Zona 1,Zona 6,CONFLICTO: Zona 'Zona 1' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
942,51 - LOS LIBERTADORES,Zona 4,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
949,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
958,32 - SAN BLAS,Zona 6,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
959,32 - SAN BLAS,Zona 6,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
965,51 - LOS LIBERTADORES,Zona 4,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
970,51 - LOS LIBERTADORES,Zona 6,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
972,33 - SOSIEGO,Zona 1,Zona 6,CONFLICTO: Zona 'Zona 1' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
983,33 - SOSIEGO,Zona 4,Zona 6,CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
991,34 - 20 DE JULIO,Zona 3,Zona 4,CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
1006,32 - SAN BLAS,Zona 6,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
1007,32 - SAN BLAS,Zona 6,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
1012,51 - LOS LIBERTADORES,Zona 4,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
1016,51 - LOS LIBERTADORES,Zona 6,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
1032,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
1033,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
1038,34 - 20 DE JULIO,Zona 2,Zona 4,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
1040,34 - 20 DE JULIO,Zona 2,Zona 4,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
1043,51 - LOS LIBERTADORES,Zona 8,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 8' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
1047,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
1048,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
1055,34 - 20 DE JULIO,Zona 2,Zona 4,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
1058,34 - 20 DE JULIO,Zona 2,Zona 4,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
1066,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
1067,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
1075,34 - 20 DE JULIO,Zona 2,Zona 4,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
1082,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
1083,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
1096,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
1097,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
1104,34 - 20 DE JULIO,Zona 2,Zona 4,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
1113,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
1114,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
1121,34 - 20 DE JULIO,Zona 2,Zona 4,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
1127,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
1128,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
1136,34 - 20 DE JULIO,Zona 2,Zona 4,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
1143,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
1148,34 - 20 DE JULIO,Zona 2,Zona 4,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
1152,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
1153,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
1154,32 - SAN BLAS,Zona 6,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
1158,34 - 20 DE JULIO,Zona 2,Zona 4,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
1162,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
1163,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
