Fila,UPZ_Original,Zona_Original,Zona_Correcta,Error
375,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
376,33 - SOSIEGO,Zona 1,Zona 6,CONFLICTO: Zona 'Zona 1' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
377,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
378,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
379,33 - SOSIEGO,Zona 1,Zona 6,CONFLICTO: Zona 'Zona 1' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
380,34 - 20 DE JULIO,Zona 6,Zona 4,CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
382,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
388,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
391,34 - 20 DE JULIO,Zona 1,Zona 4,CONFLICTO: Zona 'Zona 1' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
393,51 - LOS LIBERTADORES,Zona 8,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 8' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
396,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
399,34 - 20 DE JULIO,Zona 1,Zona 4,CONFLICTO: Zona 'Zona 1' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
408,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
